date,value,momentum,momentum_30,trend_ma7,trend_ma30,zscore_1y
2023-12-01,2192.005238095238,-0.004654417555901902,-0.10407728507501501,2179.056166814552,2525.2818699761588,0.32745378383797336
2024-01-01,2201.56652173913,0.004361889049225409,-0.1185396901167094,2181.45800758248,2515.4129055492817,0.3438700933027174
2024-02-01,2179.457142857143,-0.010042566810346432,-0.16271074878486902,2184.2758307117315,2501.295080152456,0.28589082346559014
2024-03-01,2229.441904761905,0.02293450094606353,-0.21347778585297672,2197.6844258019414,2481.124583038459,0.39821844350339
2024-04-01,2499.228181818182,0.12101067826886891,-0.14829830484690343,2242.6207647011374,2466.619062114938,1.0330737746229004
2024-05-01,2566.318695652174,0.0268444931607581,-0.02660149694367475,2295.753305638461,2464.2812762124354,1.184950809399639
2024-06-01,2497.6055,-0.026775004900438493,-0.07342742379981271,2337.9461692748246,2457.6837452600535,1.0131465913157227
2024-07-01,2349.125217391304,-0.05944905334677397,-0.21851614892668003,2360.391880602834,2435.7885691730976,0.6504855497507599
2024-08-01,2352.467272727273,0.001422680796760778,-0.27522404893136865,2381.9491307439976,2406.011294930673,0.652363389210151
2024-09-01,2457.478095238095,0.04463859018496796,-0.29753686508093347,2421.666409655562,2371.314796656001,0.8996193281420901
2024-10-01,2595.583043478261,0.05619783488926089,-0.20061883072613051,2473.9722866150414,2349.601215565594,1.2258162412417268
2024-11-01,2582.188571428571,-0.005160486805978137,-0.09062031654314084,2485.823770845097,2341.023986128364,1.1843173152108077
2024-12-01,2540.882272727273,-0.015996623623210193,-0.013506108649948279,2482.1899961415397,2339.864410370789,1.0754909490618842
2025-01-01,2571.370434782609,0.01199904552154285,0.06765716773875963,2492.7278439676265,2345.2959804190978,1.1407655025108139
2025-02-01,2655.7725,0.032823767464887466,0.09115203857372789,2536.5345986260118,2352.691194187214,1.335087567331345
2025-03-01,2651.598571428571,-0.0015716438706361302,0.19186044661954882,2579.2676412976257,2366.9192829318026,1.3139315987252689
2025-04-01,2367.800454545455,-0.10702906538760781,0.0497732044058079,2566.4565497701055,2370.6614568134764,0.6184578266087151
2025-05-01,2447.344090909091,0.033593893527191554,0.04110565135270172,2545.2795565459382,2373.882381055901,0.8053074357993871
2025-06-01,2525.959047619048,0.032122559717687516,0.053269896686426677,2537.2467674302925,2378.1407887038085,0.9890213033732731
2025-07-01,2606.370869565217,0.03183417483429318,0.04467911333397434,2546.6022812642846,2381.8564540529524,1.1754759569468103
2025-08-01,2598.735714285714,-0.0029294201253778906,0.07555484316294692,2550.5116069075852,2387.941594529142,1.1476263801148112
2025-09-01,2654.479090909091,0.021450190689628723,0.15592209131293377,2550.3268341803123,2399.876999008721,1.2726712238853668
2025-10-01,2793.086956521739,0.05221659725531236,0.19458103781256875,2570.5394606221935,2415.0421975594454,1.5939632874041287
2025-11-01,2819.0615,0.0092995828209399,0.23968595830125228,2635.0053242585573,2433.210493936257,1.6402935627276374
2025-12-01,2875.897727272727,0.020161400264849583,0.3163487541137362,2696.227272310505,2456.248630299893,1.7582760320571604
2026-01-01,3133.982727272727,0.08974067386073115,0.45109771697303036,2783.0877979753163,2488.7236418439047,2.34148902189216
