date,value,momentum,momentum_30,trend_ma7,trend_ma30,zscore_1y
1959-12-01,55124,0.01764879633732086,0.0342601973807648,54126.0,52585.1,1.6001365090381734
1960-01-01,53448,-0.030404179667658404,0.007673309326747146,54041.71428571428,52598.666666666664,1.3350960750320597
1960-02-01,53422,-0.000486454123634239,0.0018002475340359592,53981.57142857143,52601.86666666667,1.3273421027716397
1960-03-01,53494,0.0013477593500805796,-0.0007845188284518745,53961.28571428572,52600.46666666667,1.33479831099606
1960-04-01,54285,0.014786705051033744,0.016344641653561087,53990.28571428572,52629.566666666666,1.4571559616807028
1960-05-01,54349,0.0011789628810905395,0.022347209420439773,54041.42857142857,52669.166666666664,1.463159174996367
1960-06-01,54768,0.007709433476236871,0.02410291890274685,54127.142857142855,52712.13333333333,1.5262168838586738
1960-07-01,54412,-0.006500146070698265,0.05956808755087328,54025.42857142857,52814.1,1.4638703815411003
1960-08-01,54610,0.0036389031831214336,0.07950502095358591,54191.42857142857,52948.166666666664,1.4918501975620533
1960-09-01,54906,0.005420252700970574,0.08901582768059035,54403.42857142857,53097.76666666667,1.5351036003785987
1960-10-01,54779,-0.002313044111754592,0.08522693503972101,54587.0,53241.166666666664,1.5079071958019452
1960-11-01,54478,-0.0054948064039138655,0.07445318817426982,54614.57142857143,53367.0,1.4522295007626174
1960-12-01,54601,0.002257792136275194,0.06648827079711706,54650.57142857143,53480.46666666667,1.4678045259386847
1961-01-01,52780,-0.033351037526785254,0.0346382294709191,54366.57142857143,53539.36666666667,1.1551148216569906
1961-02-01,52414,-0.006934444865479339,0.01834078103749759,54081.142857142855,53570.833333333336,1.08970182194119
1961-03-01,52694,0.005342084175983475,0.010605857194913693,53807.42857142857,53589.26666666667,1.13600404832345
1961-04-01,53135,0.008369074277906341,0.019200521732458675,53554.42857142857,53622.63333333333,1.2115382889106723
1961-05-01,53690,0.010445092688435187,0.022452438536687547,53398.857142857145,53661.933333333334,1.308062873278868
1961-06-01,54455,0.014248463401005829,0.02545995518143984,53395.57142857143,53707.0,1.4430199566462358
1961-07-01,54288,-0.0030667523643375105,0.04963167765511112,53350.857142857145,53792.566666666666,1.4107314706002054
1961-08-01,54662,0.006889183613321581,0.0584795321637428,53619.71428571428,53893.23333333333,1.4763821738952339
1961-09-01,55074,0.007537228787823258,0.05734636281605776,53999.71428571428,53992.8,1.5480794873576587
1961-10-01,55160,0.0015615353887497019,0.04521165725546661,54352.0,54072.333333333336,1.5590346638110735
1961-11-01,55243,0.0015047135605510409,0.03482316799040919,54653.142857142855,54134.3,1.569422330483689
1961-12-01,55665,0.0076389768839491,0.03010844220733566,54935.28571428572,54188.53333333333,1.6422787483965051
1962-01-01,53922,-0.03131231473996232,0.0014672287948294116,54859.142857142855,54191.166666666664,1.3082729270783346
1962-02-01,54022,0.0018545306183004318,0.007196658960399782,54821.142857142855,54204.03333333333,1.3241650612651845
1962-03-01,54297,0.005090518677575817,0.003975444695092589,54769.0,54211.2,1.3734217115629115
