date,value,momentum,momentum_30,trend_ma7,trend_ma30,zscore_1y
1998-01-06,2.16,0.05365853658536612,-0.2727272727272727,2.202857142857143,2.3673333333333333,-0.6361914109904199
1998-01-07,2.13,-0.01388888888888895,-0.2310469314079423,2.1957142857142857,2.3459999999999996,-0.6905338740085972
1998-01-08,2.11,-0.009389671361502372,-0.1853281853281853,2.164285714285714,2.33,-0.7261041761840799
1998-01-09,2.09,-0.009478672985781977,-0.2053231939163498,2.138571428571429,2.312,-0.7612128058582182
1998-01-12,2.01,-0.03827751196172258,-0.19920318725099606,2.1014285714285714,2.2953333333333332,-0.9223922976907408
1998-01-13,2.03,0.00995024875621886,-0.18800000000000006,2.0828571428571427,2.2796666666666665,-0.8817406619067362
1998-01-14,2.05,0.009852216748768461,-0.18650793650793662,2.0828571428571427,2.2640000000000002,-0.8405052702257458
1998-01-15,2.07,0.009756097560975618,-0.2068965517241379,2.07,2.246,-0.8043907512976892
1998-01-16,2.11,0.019323671497584627,-0.16600790513833985,2.067142857142857,2.2319999999999998,-0.7303859113637861
1998-01-20,2.12,0.004739336492891155,-0.14516129032258063,2.0685714285714285,2.2199999999999998,-0.7070162520175906
1998-01-21,2.09,-0.014150943396226578,-0.13636363636363635,2.0685714285714285,2.209,-0.7728613879891886
1998-01-22,2.1,0.004784688995215447,-0.08695652173913038,2.0814285714285714,2.2023333333333333,-0.7424135811259732
1998-01-23,2.14,0.01904761904761898,-0.08936170212765959,2.097142857142857,2.195333333333333,-0.6399210059161904
1998-01-26,2.09,-0.02336448598130858,-0.14693877551020418,2.1028571428571428,2.183333333333333,-0.754344424176021
1998-01-27,2.06,-0.014354066985645786,-0.10434782608695647,2.1014285714285714,2.175333333333333,-0.8210330056540804
1998-01-28,2.09,0.014563106796116498,-0.09130434782608698,2.0985714285714288,2.1683333333333334,-0.7419438676217108
1998-01-29,2.07,-0.009569377990430672,-0.08000000000000007,2.0914285714285716,2.1623333333333337,-0.7840934274833394
1998-01-30,2.09,0.009661835748792313,-0.08733624454148481,2.0914285714285716,2.155666666666667,-0.7289491205230612
1998-02-02,2.23,0.06698564593301448,-0.06302521008403361,2.11,2.1506666666666665,-0.3816222114333533
1998-02-03,2.27,0.017937219730941756,-0.04219409282700426,2.1285714285714286,2.1473333333333335,-0.2792321645054355
1998-02-04,2.23,-0.017621145374449365,-0.06694560669456073,2.1485714285714286,2.1420000000000003,-0.3747865129497928
1998-02-05,2.31,0.03587443946188351,-0.021186440677966045,2.184285714285714,2.140333333333333,-0.1758889952148037
1998-02-06,2.35,0.017316017316017396,0.049107142857142794,2.221428571428571,2.1439999999999997,-0.07486077259664141
1998-02-09,2.25,-0.042553191489361764,0.09223300970873782,2.2471428571428573,2.150333333333333,-0.3179634124683166
1998-02-10,2.18,-0.03111111111111109,0.0,2.2600000000000002,2.150333333333333,-0.4876309099284092
1998-02-11,2.21,0.013761467889908063,-0.05150214592274682,2.257142857142857,2.146333333333333,-0.41179754432397836
1998-02-12,2.2,-0.004524886877827927,-0.03083700440528625,2.2471428571428573,2.144,-0.4348211668009798
1998-02-13,2.22,0.009090909090909038,-0.022026431718061623,2.245714285714286,2.142333333333333,-0.3836986165765756
1998-02-17,2.18,-0.018018018018018056,0.0092592592592593,2.2271428571428573,2.1430000000000002,-0.48134260571336535
1998-02-18,2.19,0.004587155963302614,0.06829268292682933,2.2042857142857146,2.1476666666666664,-0.45766931203567535
1998-02-19,2.22,0.013698630136986356,0.0277777777777779,2.2,2.1496666666666666,-0.38900094298168447
1998-02-20,2.2,-0.009009009009009028,0.032863849765258246,2.2028571428571433,2.152,-0.44147514811729704
1998-02-23,2.2,0.0,0.042654028436019065,2.2014285714285715,2.1550000000000002,-0.4451808023371581
1998-02-24,2.19,-0.00454545454545463,0.04784688995215314,2.2,2.158333333333333,-0.4735529662407794
1998-02-25,2.21,0.009132420091324311,0.09950248756218905,2.198571428571429,2.165,-0.42783712692365516
