,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
1999-11-01,80.0,80.69,77.37,77.62,2487300.0,0.0,0.0,0.0,0.0,77.62,77.62,77.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-02,78.0,81.69,77.31,80.25,3564600.0,0.0,0.0,0.0,0.0,77.8704761904762,77.72313725490197,77.64616915422886,0.2098005698005636,0.041960113960112726,0.16784045584045088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3564600.0
1999-11-03,81.62,83.25,81.0,81.5,2932700.0,0.0,0.0,0.0,0.0,78.21614512471656,77.87124951941563,77.68451572980868,0.47149844562949283,0.12786778029398876,0.34363066533550407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6497300.0
1999-11-04,82.06,85.37,80.62,83.62,3384700.0,0.0,0.0,0.0,0.0,78.73079796998165,78.09669071473266,77.74357527478571,0.8402760013857176,0.2703494245123345,0.569926576873383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9882000.0
1999-11-05,84.62,88.37,84.0,88.31,3721500.0,0.0,0.0,0.0,0.0,79.6431029252215,78.49721264748824,77.84871382926546,1.4937595450535923,0.5150314486205861,0.9787280964330062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13603500.0
1999-11-08,87.75,97.73,86.75,96.37,8490400.0,0.0,0.0,0.0,0.0,81.23614074186708,79.19810626915537,78.0330052339494,2.6316881385819357,0.9383627866128561,1.6933253519690796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22093900.0
1999-11-09,94.37,94.5,88.0,89.62,7224800.0,0.0,0.0,0.0,0.0,82.03460352835593,79.60680798409047,78.14829871420861,2.9547753484564794,1.3416452989815808,1.6131300494748986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14869100.0
1999-11-10,88.25,93.25,88.12,91.44,5159800.0,0.0,0.0,0.0,0.0,82.93035557327441,80.07085472981241,78.28055444839559,3.319418884985467,1.7372000161823582,1.5822188688031087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20028900.0
1999-11-11,91.59,92.62,89.87,92.25,2409600.0,0.0,0.0,0.0,0.0,83.81794075677209,80.54846826981976,78.41955390662052,3.6318955146308554,2.1161391158720577,1.5157563987587976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22438500.0
1999-11-12,91.94,92.0,87.37,90.62,2491600.0,0.0,0.0,0.0,0.0,84.46575592279379,80.94343029845429,78.54095138018648,3.705295774157804,2.433970447529207,1.271325326628597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19946900.0
1999-11-15,89.62,92.87,88.5,89.44,2320600.0,0.0,0.0,0.0,0.0,84.93949345395629,81.27662911027961,78.64939962515976,3.626446452999062,2.672465648623178,0.9539808043758837,0.0,0.0,0.0,0.0,15.228034011852598,0.0,0.0,0.0,0.0,17626300.0
1999-11-16,90.0,91.75,88.5,91.19,2088000.0,0.0,0.0,0.0,0.0,85.53477979167474,81.66538875301374,78.77418171844175,3.662944033823422,2.870561325663227,0.7923827081601948,0.0,0.0,0.0,0.0,13.632398753894082,0.0,0.0,0.0,0.0,19714300.0
1999-11-17,90.69,94.75,90.0,90.25,3255100.0,0.0,0.0,0.0,0.0,85.9838483829438,82.00204017446418,78.88836896502443,3.574810297616594,3.0114111200539004,0.5633991775626934,0.0,0.0,0.0,0.0,10.73619631901841,0.0,0.0,0.0,0.0,16459200.0
1999-11-18,91.06,91.12,88.44,89.62,3257000.0,0.0,0.0,0.0,4.811428571428571,86.33014853694915,82.30078369703422,78.99515136338239,3.414764660444675,3.0920818281320557,0.3226828323126192,0.0,0.0,0.0,0.0,7.175316909830176,0.0,31.042161520190042,6.027315914489314,0.0,13202200.0
