date,value,momentum,momentum_30,trend_ma7,trend_ma30,zscore_1y
2012-12-01,408838.0,0.1301141342355716,0.3077166664001152,359411.28571428574,339512.3,2.354361817447982
2013-01-01,327781.0,-0.19826190324774118,0.04190758335267031,356360.85714285716,339951.76666666666,1.11418179899671
2013-02-01,326276.0,-0.004591480287142957,0.03260394842613623,353705.5714285714,340295.1666666667,1.084861442528022
2013-03-01,367352.0,0.1258934153906508,0.21879458272230812,353897.71428571426,342493.36666666664,1.7039113042585663
2013-04-01,356352.0,-0.029944031882227384,0.1543298057393856,356777.5714285714,344081.4666666667,1.5239139949749962
2013-05-01,382502.0,0.07338249820402298,0.1876141035035208,361552.5714285714,346095.6666666667,1.909668482887247
2013-06-01,362587.0,-0.05206508724137393,-0.04461688448566614,361669.71428571426,345531.23333333334,1.5912927121200016
2013-07-01,370308.0,0.02129419973689073,0.2636471282763515,356165.4285714286,348106.6,1.6968865412332086
2013-08-01,381193.0,0.02939445002538421,0.29691008560035925,363795.71428571426,351015.56666666665,1.8487315310998347
2013-09-01,346383.0,-0.0913185709076505,0.02416243114505434,366668.14285714284,351287.9666666667,1.3046046620633196
2013-10-01,363018.0,0.04802487419994628,0.0919279543759175,366049.0,352306.7,1.5501244936899419
2013-11-01,371459.0,0.023252290520029417,0.08554704166739735,368207.14285714284,353282.4666666667,1.6678164885143365
2013-12-01,421395.0,0.13443206383477047,0.24055734481073476,373763.28571428574,356006.23333333334,2.4043136549929396
2014-01-01,334846.0,-0.20538686980149268,0.00013739545997615288,369800.28571428574,356007.76666666666,1.0716049407509582
2014-02-01,331385.0,-0.01033609480178943,-0.04050391749234161,364239.85714285716,355541.4666666667,1.01268864169588
2014-03-01,376734.0,0.13684686995488637,0.15176417716062396,363602.85714285716,357196.1666666667,1.7040712184179774
2014-04-01,376970.0,0.0006264366900783358,0.14055337881790542,367972.4285714286,358744.6666666667,1.6947685079965207
2014-05-01,400918.0,0.06352760166591498,0.16284290578755933,373386.71428571426,360616.13333333336,2.0467024323979097
2014-06-01,378559.0,-0.05576950897689803,-0.05644731135626091,374401.0,359861.23333333334,1.6868790466169736
2014-07-01,387820.0,0.024463822019817227,0.252859007326812,369604.5714285714,362470.3,1.815093150585603
2014-08-01,394308.0,0.01672941055128674,0.21385671055507505,378099.14285714284,364785.93333333335,1.8987702824112693
2014-09-01,367663.0,-0.06757407914625113,0.01778042298748761,383281.71428571426,365000.0333333333,1.4766008076610273
2014-10-01,381289.0,0.03706111303013904,0.11348663076617571,383932.4285714286,366295.4,1.6752200342835446
2014-11-01,383954.0,0.006989448948173216,0.04938436940568769,384930.14285714284,366897.7,1.7028004177035163
2014-12-01,440713.0,0.14782760434843767,0.2623032990198606,390615.14285714284,369950.3333333333,2.5418531417642134
2015-01-01,344632.0,-0.21801262953441358,-0.000669831208334859,385768.4285714286,369942.63333333336,1.0608695227677314
2015-02-01,335752.0,-0.02576661482392817,-0.08266235345225637,378330.14285714284,368934.13333333336,0.91815328698354
