,open,high,low,close,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di
2007-01-12,1.2892,1.2942,1.2867,1.2924,0.0,0.0,0.0,0.0,1.2924,1.2924,1.2924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-15,1.2933,1.294,1.2927,1.2936,0.0,0.0,0.0,0.0,1.2925142857142857,1.2924470588235295,1.2924119402985075,9.57264957266446e-05,1.914529914532892e-05,7.658119658131568e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-16,1.2936,1.2988,1.2908,1.2918,0.0,0.0,0.0,0.0,1.2924462585034013,1.292421683967705,1.2924058513403134,2.6045243139316554e-05,2.052528794412645e-05,5.5199551951901046e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-17,1.2917,1.295,1.2898,1.2938,0.0,0.0,0.0,0.0,1.2925751862649821,1.2924757355768146,1.2924197234662804,0.00013069901683149254,4.256003372159967e-05,8.813898310989287e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-18,1.2938,1.2976,1.2896,1.2963,0.0,0.0,0.0,0.0,1.292929930430222,1.292625706730665,1.292458333183034,0.00041063346611358575,0.00011617472019999689,0.00029445874591358886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-19,1.2963,1.3001,1.2914,1.2961,0.0,0.0,0.0,0.0,1.29323184181782,1.292761953525541,1.2924945686737501,0.0006093213284730226,0.00021480404185460203,0.00039451728661842056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-22,1.2959,1.2977,1.2923,1.2949,0.0,0.0,0.0,0.0,1.2933907140256466,1.2928457984853237,1.2925185033138125,0.0006623181285725366,0.00030430685919818895,0.00035801126937434763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-23,1.2949,1.3044,1.2929,1.3026,0.0,0.0,0.0,0.0,1.2942677888803469,1.2932283161917817,1.2926188167136752,0.0013105370673562877,0.0005055529008298087,0.000804984166526479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-24,1.3025,1.3036,1.2948,1.297,0.0,0.0,0.0,0.0,1.2945279994631709,1.2933762253607315,1.2926624105772209,0.0013567423662055322,0.0006757907939049534,0.0006809515723005788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-25,1.2969,1.3001,1.2915,1.2931,0.0,0.0,0.0,0.0,1.2943919995142974,1.293365392993644,1.2926667647008308,0.0010663705363442855,0.0007539067423928199,0.0003124637939514656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-26,1.2931,1.2944,1.2878,1.2915,0.0,0.0,0.0,0.0,1.2941165709891262,1.2932922403272267,1.2926551551018175,0.0006990835410245477,0.0007429421021191655,-4.3858561094617735e-05,0.0,0.0,0.0,0.0,-0.06963788300834439,0.0,0.0,0.0
2007-01-29,1.2916,1.2966,1.2897,1.2957,0.0,0.0,0.0,0.0,1.2942673737520667,1.2933866622751786,1.2926854520659785,0.0007383990456484302,0.0007420334908250184,-3.6344451765882736e-06,0.0,0.0,0.0,0.0,0.16233766233766378,0.0,0.0,0.0
